"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 01:36:58 UTC 2024","Fri Jul 05 01:38:39 UTC 2024","101360","tests.integration","test_log_rotation","","","","test_log_rotation","Test log rotation."
"broken","Fri Jul 05 01:37:24 UTC 2024","Fri Jul 05 01:43:07 UTC 2024","343087","tests.integration","test_exporter_with_tls","","","","test_exporter_endpoint","Test that the exporter endpoint works when related with TLS"
"passed","Fri Jul 05 01:39:17 UTC 2024","Fri Jul 05 01:42:26 UTC 2024","189197","tests.integration","test_upgrade","","","","test_upgrade_from_edge","Upgrade mysqlrouter while ensuring continuous writes incrementing."
"passed","Fri Jul 05 01:37:20 UTC 2024","Fri Jul 05 01:39:17 UTC 2024","116576","tests.integration","test_upgrade","","","","test_deploy_edge","Simple test to ensure that mysql, mysqlrouter and application charms deploy."
"passed","Fri Jul 05 01:37:39 UTC 2024","Fri Jul 05 01:39:17 UTC 2024","98373","tests.integration","test_tls","","","","test_build_deploy_and_relate","Test encryption when backend database is using TLS."
"passed","Fri Jul 05 01:40:26 UTC 2024","Fri Jul 05 01:40:27 UTC 2024","1457","tests.integration","test_node_port","","","","test_tls","Test the database relation."
"passed","Fri Jul 05 01:37:26 UTC 2024","Fri Jul 05 01:41:32 UTC 2024","245902","tests.integration","test_charm","","","","test_database_relation","Test the database relation."
"passed","Fri Jul 05 01:40:27 UTC 2024","Fri Jul 05 01:40:28 UTC 2024","489","tests.integration","test_node_port","","","","test_node_port_and_clusterip_setup","Test the nodeport."
"broken","Fri Jul 05 01:42:26 UTC 2024","Fri Jul 05 02:03:40 UTC 2024","1273789","tests.integration","test_upgrade","","","","test_fail_and_rollback","Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    "
"passed","Fri Jul 05 01:40:28 UTC 2024","Fri Jul 05 01:40:31 UTC 2024","3117","tests.integration","test_node_port","","","","test_data_integrator","Test the nodeport."
"passed","Fri Jul 05 01:37:18 UTC 2024","Fri Jul 05 01:40:26 UTC 2024","187440","tests.integration","test_node_port","","","","test_build_and_deploy","Test the deployment of the charm."
"passed","Fri Jul 05 01:37:12 UTC 2024","Fri Jul 05 01:39:38 UTC 2024","146410","tests.integration","test_exporter","","","","test_exporter_endpoint","Test that exporter endpoint is functional."
"passed","Fri Jul 05 01:39:17 UTC 2024","Fri Jul 05 01:39:39 UTC 2024","22084","tests.integration","test_tls","","","","test_connected_encryption","Test encryption when backend database is using TLS."
